mu_xi,mu_ep,mu_rho,sigma,xi,ep,rho,log_lik,lp__
0.408036286232,0.154192816605,4.92105773597,[ 18.6102106    0.10536415   0.1411706 ],"[  0.00000000e+000   6.14755182e-244   1.00886707e-009   1.30851357e-029
   9.06605400e-013   0.00000000e+000   9.28079741e-015   1.77501499e-181
   5.76404514e-072   1.09986266e-002]","[ 0.18043346  0.15180361  0.12897608  0.1938261   0.13088926  0.15460922
  0.13806359  0.15854801  0.15845086  0.19221368]","[ 4.71239894  5.31533937  4.73201517  4.30556774  4.91968034  5.60569039
  5.44921239  6.99788642  4.75414537  4.7320112 ]","[-71.80820475 -78.06832231 -91.17434108 -63.36692876 -68.36976968
 -88.85247755 -83.38712201 -77.14744667 -77.54702853 -92.09000093]",-809.862742244
0.0493701399776,0.155093045158,6.33046722401,[ 0.7565657   0.04035753  0.12668527],"[ 0.09419959  0.00167764  0.06002327  0.05761999  0.00793155  0.0577717
  0.0578935   0.01019822  0.08288379  0.16068012]","[ 0.16650223  0.15918917  0.15761518  0.1652154   0.14651098  0.14869312
  0.15771246  0.16491651  0.14510242  0.16341593]","[ 6.55066595  5.9182481   6.07208219  7.37099458  6.20137704  7.45196223
  5.57430417  7.22858044  7.0626792   6.07303717]","[-72.13473189 -77.76111731 -92.41975264 -64.73900927 -67.26156967
 -87.35333487 -81.63306956 -77.29631793 -77.06146191 -90.38442307]",-806.750728871
0.417467486355,0.170988169153,4.69445969733,[ 15.00787231   0.04768645   0.12233654],"[  1.72007756e-05   2.55362735e-83   3.54124738e-02   5.80194595e-03
   7.62280287e-14   1.23295636e-02   2.08582376e-04   1.69062280e-90
   7.12605768e-02   6.28486756e-77]","[ 0.18773367  0.17760974  0.160632    0.16681192  0.17118181  0.19039253
  0.16998635  0.16823751  0.17589779  0.17109917]","[ 3.72869554  5.56525829  5.05938237  5.5332627   5.50736868  5.33789381
  4.17794017  5.06792952  4.74324139  3.99070152]","[-72.06375822 -77.31726902 -92.44952726 -61.78479951 -67.30417215
 -89.02778256 -81.67517965 -79.19956756 -78.55827616 -89.4267308 ]",-806.119318372
0.133945339141,0.156171815297,4.9315508297,[ 16.5797639    0.10458393   0.13249089],"[  3.84021426e-019   5.75210311e-011   8.59674582e-003   0.00000000e+000
   2.41119366e-012   3.99239300e-006   4.74954105e-146   2.13596618e-027
   0.00000000e+000   1.72562685e-011]","[ 0.17506411  0.1614751   0.13374873  0.1460813   0.17436168  0.15225916
  0.17418916  0.13483425  0.18787546  0.16249534]","[ 3.86996847  5.9509122   5.16012274  6.62498694  5.54321812  4.98674199
  4.19356696  5.51459307  4.5556613   4.13004795]","[-71.88201851 -77.80737618 -91.46921374 -61.3550206  -67.39523871
 -89.2795466  -81.61270225 -79.93279606 -77.7441223  -89.54533436]",-807.442727934
0.0723918401644,0.192348322885,5.95891916154,[ 0.61676323  0.17888875  0.18942571],"[ 0.03331717  0.01631932  0.08745574  0.01017579  0.01658774  0.07803023
  0.1151962   0.05441502  0.0415632   0.03060265]","[ 0.13999411  0.15401761  0.12512751  0.19871392  0.14369873  0.19239885
  0.22056338  0.19634871  0.20020355  0.16215055]","[ 5.98174791  5.60132167  4.92382539  5.80231098  5.60670633  5.96444283
  5.52014566  5.9851417   5.94414414  5.17015215]","[-70.9095169  -77.85542771 -92.06056814 -62.64106875 -67.38152241
 -87.74218783 -81.91961749 -78.50215384 -78.2425188  -91.07432786]",-802.302591256
0.0327274339881,0.137375584291,5.50953455371,[ 0.50429893  0.11130899  0.25066703],"[ 0.04636258  0.00372661  0.03555457  0.01941432  0.02920546  0.00813932
  0.01353131  0.04331738  0.10975508  0.0828577 ]","[ 0.10663188  0.17041396  0.11306758  0.18382997  0.12962177  0.14418289
  0.1879371   0.13950821  0.0980885   0.15566133]","[ 6.42533325  5.87647764  5.81498333  5.85738605  5.67083854  5.81141225
  4.95500111  6.73304589  8.86527974  5.15565401]","[-70.55695567 -77.51807383 -90.40959626 -62.62025365 -68.06458631
 -88.65652234 -82.10894797 -78.52121817 -77.23062099 -89.30790843]",-806.592003992
0.0372497441071,0.114433149538,5.63638787376,[ 0.07200343  0.21102394  0.03778281],"[ 0.03475112  0.03902753  0.0383889   0.04347653  0.03431869  0.02909607
  0.03314817  0.04301609  0.04163311  0.05084089]","[ 0.13768576  0.18994135  0.10421225  0.1713375   0.11928874  0.12909625
  0.16073305  0.17160508  0.20370865  0.14357156]","[ 5.33729745  5.8163869   5.59485652  5.35967801  5.66739714  5.8374101
  5.80997625  5.70184523  5.62574546  5.33924312]","[-70.83352321 -77.37080627 -90.28355394 -63.90054959 -68.78691879
 -88.93207847 -82.4313731  -79.01493121 -78.01859208 -89.82400381]",-815.003200707
0.028751491782,0.143697784425,5.83458479432,[ 0.3411599   0.05930108  0.05647477],"[ 0.03230416  0.06150582  0.03669904  0.00846619  0.04913428  0.00677263
  0.03370621  0.02265554  0.03761991  0.06362364]","[ 0.16112491  0.15362565  0.14831937  0.13294482  0.15486928  0.14291165
  0.13586591  0.139848    0.14234619  0.14730741]","[ 5.61953686  6.24195907  6.07319981  5.81860876  6.21267354  6.31048122
  6.32405689  6.23114736  6.0627502   5.66308393]","[-71.30135373 -78.37813286 -92.6737221  -62.06448179 -67.95339232
 -88.83923872 -82.81467034 -78.62229447 -77.17686914 -90.1626095 ]",-811.52059923
0.248941448949,0.136945430109,5.46042469548,[ 4.90503303  0.1472944   0.28922393],"[  1.01814250e-08   7.96999475e-04   2.96465249e-18   3.92367066e-03
   4.48712152e-15   4.08909430e-06   5.73490619e-04   9.77834533e-22
   7.72134621e-03   3.32911491e-04]","[ 0.08928491  0.18245677  0.09678005  0.15869185  0.15027139  0.11469451
  0.12090939  0.17881396  0.12946698  0.100821  ]","[ 5.96573018  4.59727254  4.47559417  5.9479868   5.86860595  5.38719682
  4.47288628  6.05877186  5.39165163  4.92427181]","[-72.77682847 -77.89688005 -91.51401341 -61.5350115  -67.19647352
 -90.19508074 -83.23115776 -77.20875127 -77.55549147 -90.1628006 ]",-804.211577853
0.0544036176836,0.16317075914,7.63569051251,[ 0.60671008  0.17741965  0.22737559],"[ 0.02054119  0.10042677  0.09123109  0.00428929  0.05137927  0.09504668
  0.22201669  0.01060628  0.04733781  0.10826913]","[ 0.14158802  0.17051242  0.13518867  0.1207121   0.18211901  0.14845625
  0.08224347  0.16244989  0.12447258  0.16487464]","[  4.5164794    7.1603972    6.7659421    5.92732896   6.55379326
   8.69465961  10.15669005   6.18387451   6.20680257   4.97886125]","[-71.56181956 -78.98876736 -91.04486424 -62.18766984 -68.45571152
 -86.32132647 -86.80190373 -77.44919572 -77.18715775 -89.38180388]",-812.260670514
